,Price(EUR),Location,Address,Rooms,Heating,SetUp,Elevator,Stores,Area(m2),Evident,State,Infrared,YearOfBuild,Floor
152,216300,Bulevar Oslobođenja,Bulevar Oslobođenja,3.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, klima",91,uknjiženo,renovirano,useljivo,2011,3/11
153,107120,Grbavica,Danila KIša,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, kuhinjski elementi",52,uknjiženo,renovirano,useljivo,2010,prizemlje/5
154,231750,Grbavica,Gogoljeva,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, kuhinjski elementi",107,uknjiženo,renovirano,useljivo,2010,4/5
155,178950, Stari Grad,Kej Žrtava Racije,3.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, kuhinjski elementi",73,uknjiženo,renovirano,useljivo,2010,1/3
156,127720, Detelinara,Branka Bajića,2,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, kuhinjski elementi",45,uknjiženo,novo,useljivo,2010,3/3
157,123600,Podbara,Gundulićeva,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",43,u procesu uknjižavanja,novo,useljivo,2020,3/5
158,74160, Rotkvarija,Socijalno,1,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, klima",27,uknjiženo,uobičajeno stanje,useljivo,2020,1/3
159,66950, Telep,Bulevar Patrijarha Pavla (Somborski Bulevar),0.5,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, kuhinjski elementi",24,uknjiženo,renovirano,useljivo,2010,3/4
160,66950, Detelinara,Nova Detelinara,0.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, kuhinjski elementi",25,uknjiženo,renovirano,useljivo,2010,visoko
161,57680, Telep,Bulevar Patrijarha Pavla (Somborski Bulevar),0.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, kuhinjski elementi",25,uknjiženo,renovirano,useljivo,2010,2/5
162,123000,Avijatičarsko Naselje,Milete Protića 1,3,centralno grejanje,prazno,ima lift (1),"kablovska, klima, kuhinjski elementi, sudo mašina, frižider, zamrzivač, mikrotalasna rerna, rerna, šporet, plakar",88,uknjiženo,renovirano,useljivo,1980,3/3
163,164800, Stari Grad,Novi Sad - Centar,3,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, TV, sudo mašina, frižider, šporet, ležaj",94,uknjiženo,renovirano,useljivo,1980,3.
164,86520,Novo Naselje,Novo Naselje,1.5,centralno grejanje,namešteno,ima lift (1),klima,40,uknjiženo,uobičajeno stanje,useljivo,1980,visoko
165,129200,Podbara,Podbara,3,centralno grejanje,namešteno,ima lift (1),klima,76,uknjiženo,uobičajeno stanje,useljivo,1980,3/4
166,96730,Adice,Adice,3,podno grejanje,prazno,ima lift (1),Kanalizacija,63,uknjiženo,novo,useljivo,1980,prizemlje/2
