Id,Price(EUR),Location,Address,Rooms,Heating,SetUp,Elevator,Stores,Area(m2),Evident,State,Infrared,YearOfBuild,Floor
823,3.0,Adice,Adice,3,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, interfon",57,uknjiženo,u izgradnji,useljivo,2022,1
824,3.0,Adice,Adice,3,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, interfon",58,uknjiženo,u izgradnji,useljivo,2022,1
825,3.0,Adice,Adice,3,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, interfon",57,uknjiženo,u izgradnji,useljivo,2022,1
826,3.0,Bulevar Oslobođenja,Novosadskog sajma,1,centralno grejanje,prazno,ima lift (1),"telefon, interfon, klima",30,uknjiženo,novo,useljivo,2022,1
827,6.0,Sajmište,Sajmište,4,centralno grejanje,prazno,ima lift (1),"telefon, interfon, klima",75,uknjiženo,uobičajeno stanje,useljivo,2014,1
828,12.0,Sajmište,Sajmište,3,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, internet, video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj, Kanalizacija",156,uknjiženo,novo,useljivo,2019,5
829,3.0,Detelinara,Stara Detelinara,2.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, klima",62,uknjiženo,novo,useljivo,2019,4
830,5.0,Adice,Adice,4,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",79,uknjiženo,u izgradnji,useljivo,2019,2
831,3.0,Grbavica,MISE DIMITRIJEVICA,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",40,uknjiženo,u izgradnji,useljivo,2019,2
832,4.0,Stari Grad,VUKA KARADZICA,2,etažno grejanje,prazno,ima lift (1),"telefon, kablovska",44,uknjiženo,u izgradnji,useljivo,2019,2
833,17.0,Bulevar Evrope,Bulevar Evrope,5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",149,uknjiženo,u izgradnji,useljivo,2019,1
834,4.0,Liman,Balzakova 21,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, video nadzor, interfon, klima, ventilacija",65,uknjiženo,uobičajeno stanje,useljivo,1970,7
835,19.0,Banatić,Železnička stanica,5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, video nadzor, interfon, klima, ventilacija",150,uknjiženo,novo,useljivo,1970,1
836,5.0,Podbara,Beogradski Kej,3,centralno grejanje,prazno,ima lift (2),"telefon, kablovska, video nadzor, interfon, klima, ventilacija",72,uknjiženo,uobičajeno stanje,useljivo,1970,3
837,14.0,Sremska Kamenica,Sremska Kamenica,6,etažno grejanje,prazno,ima lift (2),"telefon, kablovska, video nadzor, interfon, klima, ventilacija",134,uknjiženo,uobičajeno stanje,useljivo,2020,1
838,3.0,Grbavica,Grbavica,1.5,centralno grejanje,prazno,ima lift (1),kablovska,39,uknjiženo,uobičajeno stanje,useljivo,2020,visoko
839,8.0,Novo Naselje,Novo Naselje,4,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",100,nije uknjiženo,uobičajeno stanje,useljivo,2020,visoko
840,4.0,Detelinara,Janka Veselinovića,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",45,uknjiženo,uobičajeno stanje,useljivo,2020,visoko
841,1.0,Bulevar Evrope,Bulevar Evrope,1.5,grejanje na struju,namešteno,ima lift (1),"telefon, kablovska",30,uknjiženo,novo,useljivo,2020,suteren
842,11.0,Stari Grad,Centar,3.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",103,uknjiženo,uobičajeno stanje,useljivo,2006,6
843,2.0,Novo Naselje,Novo Naselje,1,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",28,uknjiženo,uobičajeno stanje,useljivo,2012,visoko
844,5.0,Stari Grad,Centar,3,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",66,uknjiženo,u izgradnji,useljivo,2022,3
845,5.0,Rotkvarija,Socijalno,3,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, video nadzor, klima, veš mašina, kuhinjski elementi, sudo mašina, frižider, zamrzivač, rerna, šporet, ležaj, plakar",77,uknjiženo,u izgradnji,useljivo,2022,2
846,5.0,Liman,Ive Andrića,3,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, video nadzor, klima, veš mašina, kuhinjski elementi, sudo mašina, frižider, zamrzivač, rerna, šporet, ležaj, plakar",58,uknjiženo,uobičajeno stanje,useljivo,2022,2
847,2.0,Adice,Adice,1.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",41,uknjiženo,novo,useljivo,2020,potkrovlje
848,3.0,Grbavica,Grbavica,1,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, TV, klima, kuhinjski elementi, frižider, rerna, plakar",38,uknjiženo,održavano,useljivo,2020,1
849,4.0,Grbavica,Grbavica,1,grejanje na gas,namešteno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, TV, klima, veš mašina, frižider, šporet, ležaj",27,uknjiženo,novo,useljivo,2020,4
850,3.0,Grbavica,Grbavica,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, TV, klima, veš mašina, frižider, šporet, ležaj",51,uknjiženo,novo,useljivo,2020,5
851,3.0,Detelinara,Nova Detelinara,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, TV, klima, veš mašina, frižider, šporet, ležaj",47,uknjiženo,uobičajeno stanje,useljivo,2020,2
852,4.0,Detelinara,Nova Detelinara,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, TV, klima, veš mašina, frižider, šporet, ležaj",53,uknjiženo,uobičajeno stanje,useljivo,2020,3
853,3.0,Sajmište,"SAJAM, NOVI SAD",2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, TV, klima, veš mašina, frižider, šporet, ležaj",37,uknjiženo,uobičajeno stanje,useljivo,2020,5
854,6.0,Detelinara,Nova Detelinara,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, TV, klima, veš mašina, frižider, šporet, ležaj",82,uknjiženo,uobičajeno stanje,useljivo,2020,4
855,2.0,Banatić,"ZELEZNICKA STANICA, NOVI SAD",0.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, TV, klima, veš mašina, frižider, šporet, ležaj",22,uknjiženo,uobičajeno stanje,useljivo,2020,5
856,6.0,Detelinara,Veselina Masleše,3.5,grejanje na gas,namešteno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, TV, klima, veš mašina, frižider, šporet, ležaj",68,uknjiženo,uobičajeno stanje,useljivo,2020,5
857,2.0,Novo Naselje,Novo Naselje,1,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, TV, klima, veš mašina, frižider, šporet, ležaj",28,uknjiženo,uobičajeno stanje,useljivo,2016,visoko
858,4.0,Adice,Adice,3.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, TV, klima, veš mašina, frižider, šporet, ležaj",64,uknjiženo,uobičajeno stanje,useljivo,2020,prizemlje
859,6.0,Bulevar Oslobođenja,Bulevar Oslobođenja,2,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, TV, klima, veš mašina, frižider, šporet, ležaj",53,uknjiženo,uobičajeno stanje,useljivo,1967,visoko
860,2.0,Banatić,Železnička stanica,0.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, TV, klima, veš mašina, frižider, šporet, ležaj",22,uknjiženo,uobičajeno stanje,useljivo,2000,5
861,5.0,Telep,Južni Telep,3,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, TV, klima, veš mašina, frižider, šporet, ležaj",67,uknjiženo,u izgradnji,useljivo,2000,2
862,5.0,Detelinara,Detelinara,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",74,uknjiženo,novo,useljivo,2000,5
863,6.0,Adamovićevo Naselje,Cara Dušana,2.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",48,uknjiženo,novo,useljivo,2000,4
864,2.0,Detelinara,Nova Detelinara,0.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",24,uknjiženo,renovirano,useljivo,2000,visoko
865,12.0,Bulevar Evrope,Bulevar Evrope,5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",145,uknjiženo,u izgradnji,useljivo,2022,2
866,12.0,Bulevar Evrope,Bulevar Evrope,5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",192,uknjiženo,u izgradnji,useljivo,2022,1
867,9.0,Bulevar Evrope,Bulevar Evrope,4,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",133,uknjiženo,u izgradnji,useljivo,2022,prizemlje
868,8.0,Bulevar Evrope,Bulevar Evrope,4,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",92,uknjiženo,u izgradnji,useljivo,2022,prizemlje
869,4.0,Rotkvarija,Socijalno,1.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",45,uknjiženo,u izgradnji,useljivo,2022,1
870,5.0,Klisa,Klisa,4,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",88,uknjiženo,novo,useljivo,2022,1
871,5.0,Novo Naselje,Novo Naselje,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",92,uknjiženo,uobičajeno stanje,useljivo,1996,2
872,5.0,Adamovićevo Naselje,Cara Dušana,2.5,grejanje na gas,prazno,ima lift (1),"kablovska, internet, interfon",65,uknjiženo,uobičajeno stanje,useljivo,2010,1
873,3.0,Stari Grad,Matice srpske,1,grejanje na gas,namešteno,ima lift (1),"kablovska, internet, interfon",28,uknjiženo,uobičajeno stanje,useljivo,2010,prizemlje
874,4.0,Telep,Desanke Maksimović,3.5,etažno grejanje,namešteno,ima lift (1),"kablovska, internet, interfon",64,nije uknjiženo,uobičajeno stanje,useljivo,2010,prizemlje
875,5.0,Liman,Liman 3,3,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, interfon",73,uknjiženo,uobičajeno stanje,useljivo,2010,8
876,4.0,Rotkvarija,Socijalno,1.5,centralno grejanje,prazno,ima lift (1),"kablovska, internet, interfon",45,uknjiženo,uobičajeno stanje,useljivo,2010,1
877,5.0,Grbavica,Grbavica,3.5,centralno grejanje,prazno,ima lift (1),"kablovska, internet, interfon",111,uknjiženo,uobičajeno stanje,useljivo,2010,6
878,2.0,Adice,Adice,2,grejanje na gas,prazno,ima lift (1),"kablovska, internet, interfon",63,uknjiženo,uobičajeno stanje,useljivo,2010,2
879,1.0,Bulevar Evrope,Bulevar Evrope,1.5,grejanje na struju,namešteno,ima lift (1),"kablovska, internet, interfon",30,uknjiženo,uobičajeno stanje,useljivo,2010,suteren
880,3.0,Detelinara,Detelinara,2.5,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, interfon",62,uknjiženo,uobičajeno stanje,useljivo,2010,4
881,3.0,Grbavica,Grbavica,1.5,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, interfon",40,uknjiženo,uobičajeno stanje,useljivo,2010,4
882,4.0,Novo Naselje,Novo Naselje,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, klima",60,uknjiženo,uobičajeno stanje,useljivo,2010,4
883,4.0,Detelinara,JANKA VESELINOVICA,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, klima",45,uknjiženo,uobičajeno stanje,useljivo,2010,4
884,5.0,Podbara,Podbara,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, klima",78,uknjiženo,uobičajeno stanje,useljivo,2010,4
885,6.0,Bulevar Oslobođenja,Bulevar Oslobođenja,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, klima",68,uknjiženo,uobičajeno stanje,useljivo,2010,1
886,3.0,Sajmište,jovana hranilovica,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, klima",48,uknjiženo,novo,useljivo,2010,3
887,5.0,Liman,Liman 3,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, klima",70,uknjiženo,novo,useljivo,2010,4
888,5.0,Podbara,djordja rajkovica,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, klima",61,uknjiženo,novo,useljivo,2010,1
889,5.0,Bulevar Evrope,Bulevar Evrope,2.5,centralno grejanje,prazno,ima lift (2),"telefon, kablovska, klima",62,uknjiženo,novo,useljivo,2010,8
890,2.0,Telep,adi endrea,1,grejanje na struju,namešteno,ima lift (2),"telefon, kablovska, klima",25,uknjiženo,novo,useljivo,2010,2
891,4.0,Stari Grad,Centar,2,centralno grejanje,namešteno,ima lift (2),"telefon, kablovska, klima",44,uknjiženo,u izgradnji,useljivo,2010,1
892,8.0,Grbavica,"GRBAVICA, NOVI SAD",5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, klima",157,uknjiženo,uobičajeno stanje,useljivo,2006,5
893,5.0,Rotkvarija,Socijalno,3,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",57,uknjiženo,uobičajeno stanje,useljivo,2006,3
894,3.0,Telep,Telep,2,grejanje na gas,namešteno,ima lift (1),"telefon, kablovska",39,uknjiženo,uobičajeno stanje,useljivo,2006,2
895,19.0,Bulevar Oslobođenja,Bulevar Oslobođenja,4,centralno grejanje,namešteno,ima lift (1),klima,150,uknjiženo,uobičajeno stanje,useljivo,2006,1
896,6.0,Liman,ive andrica,3,centralno grejanje,prazno,ima lift (1),klima,58,uknjiženo,renovirano,useljivo,2006,1
897,4.0,Stari Grad,Centar,1.5,centralno grejanje,prazno,ima lift (1),klima,44,uknjiženo,u izgradnji,useljivo,2006,visoko
898,5.0,Stari Grad,Kej,2.5,centralno grejanje,prazno,ima lift (1),klima,60,uknjiženo,u izgradnji,useljivo,2006,2
899,8.0,Stari Grad,stevana milovanova,2.5,centralno grejanje,prazno,ima lift (1),klima,80,uknjiženo,renovirano,useljivo,2006,1
900,5.0,Bulevar Evrope,Bulevar Evrope,2.5,grejanje na gas,prazno,ima lift (1),klima,49,uknjiženo,renovirano,useljivo,2006,4
901,4.0,Stari Grad,PIONIRSKA,1.5,centralno grejanje,prazno,ima lift (1),klima,44,uknjiženo,renovirano,useljivo,2006,4
902,2.0,Stari Grad,Centar,2,centralno grejanje,namešteno,ima lift (1),"kablovska, TV, klima, veš mašina, frižider, šporet, ležaj",57,uknjiženo,renovirano,useljivo,2006,4
903,3.0,Detelinara,Nova Detelinara,1.5,centralno grejanje,prazno,ima lift (1),"kablovska, TV, klima, veš mašina, frižider, šporet, ležaj",42,uknjiženo,renovirano,useljivo,2006,3
904,5.0,Novo Naselje,Novo Naselje,4,centralno grejanje,prazno,ima lift (1),"kablovska, TV, klima, veš mašina, frižider, šporet, ležaj",90,uknjiženo,uobičajeno stanje,useljivo,2006,3
